sku|code|name|type|price|sale_price|availability|link|image1|image2|cost|release_date|category|author_speaker_editor|brand|custom_design|target_audience|skill_level|technique|rating|stock_status|short_description|description
OW1SU|OW1SU|Old Cars Weekly Magazine One Year Subscription - U.S.||34.98||Y|http://OldCarsBookStore.com/old-cars-weekly-magazine-one-year-subscription-us|http://cdn.fwmedia.com/media/catalog/product/cache/0/image/120x120/9df78eab33525d08d6e5fb8d27136e95/O/W/OW1SU.jpg|http://cdn.fwmedia.com/media/catalog/product/cache/0/image/200x200/9df78eab33525d08d6e5fb8d27136e95/O/W/OW1SU.jpg|0.00|2009-08-05 00:00:00|631~2041~2445~2595~2737~4615~4637~8632|Old Cars Weekly Magazine|Old Cars Weekly Magazine||||||1|Old Cars Weekly covers the entire field of collectible automobiles, from the classic touring cars|<p>Old Cars Weekly covers the entire field of collectible automobiles, from the classic touring cars and roadsters of the early 1900s to the popular muscle cars of the 1960s and '70s. Each week Old Cars Weekly brings you expert restoration advice, a huge classified marketplace, fascinating historical features, and the latest news on car shows, swap meets and auctions. Miss a week and you'll miss a lot!<p>Subscribe and receive 1 year (52 issues) of Old Cars Weekly delivered to your home.<p><b>Our Pledge to You<br />100% SATISFACTION GUARANTEE!</b><br />You can cancel anytime, for any reason, no questions asked, and receive a prompt refund for any unserved issues.
SCFT02|SCFT02|Standard Catalog of&reg; Farm Tractors 1890-1980|Paperback|32.99|21.77|Y|http://OldCarsBookStore.com/standard-catalog-of-farm-tractors-1890-1980|http://cdn.fwmedia.com/media/catalog/product/cache/0/image/120x120/9df78eab33525d08d6e5fb8d27136e95/S/C/SCFT02.jpg|http://cdn.fwmedia.com/media/catalog/product/cache/0/image/200x200/9df78eab33525d08d6e5fb8d27136e95/S/C/SCFT02.jpg|4.13|2005-12-13 00:00:00|631~2429~2595~4509~4563~4569~4615~4617~4667~8348|C. H.  Wendel|Krause Publications||||||1|Gauge the true performance of farm tractors manufactured from 1890-1980 with this detail rich guide. Plus, review Nebraska Tractor Test data for most models.|<p>Tractor enthusiasts of any era will appreciate the wealth of technical data this comprehensive resource delivers. This expanded 2nd edition fuses <b>familiar and reliable Standard Catalog data with results from the renowned Nebraska Tractor Tests</b>, for the extended coverage savvy enthusiasts need.</p> <p>Four grades of prices for most models, and updated prices for tractors of the 1960s and later, assist collectors in evaluating each model. Technical specifications including engine size, weight, performance ability and options offer a more in depth report. Additional performance reports from the standard Nebraska Tractor Tests add to a solid foundation of information to create a resource that's second to none.</p> <ul> <li>Information on tractors manufactured from 1890 to 1960 guides collectors through various generations of tractors</li> <li>Updated prices for post-1960 models helps collectors remain updated</li> <li>1,800 detailed archive photos help enthusiasts identify various models</li> </ul>
SGCPT|SGCPT|Eddie Paul's Paint & Bodywork Handbook|Paperback|24.99|16.49|N|http://OldCarsBookStore.com/eddie-pauls-paint-bodywork-handbook|http://cdn.fwmedia.com/media/catalog/product/cache/0/image/120x120/9df78eab33525d08d6e5fb8d27136e95/S/G/SGCPT.jpg|http://cdn.fwmedia.com/media/catalog/product/cache/0/image/200x200/9df78eab33525d08d6e5fb8d27136e95/S/G/SGCPT.jpg|3.96|2006-12-20 00:00:00|631~2453~2595~4509~4609~4615~4617~4625~4667~4669~4673|Eddie Paul|Krause Publications||||||0|See motorcycles and cars as more than vehicles with this innovative guide. Packed with 300+ detailed how-to photos of painting techniques and basic bodywork skills. Plus, a detailed list of necessary tools.|<p><I>Eddie Paul's Paint and Bodywork Handbook</I> will inspire you to see your cars and motorcycles as more than vehicles, and find the customizer inside of you.</p>  <p>This innovative and exciting guide:</p>  <ul>  <li>Features <b>300+ great how-to photos and practical advice</b> for everything from restoring and customizing a vehicle's body to more elaborate skills like shaving door handles</li>    <li>Covers timeless paint and bodywork techniques to guide teach through your first project, and inspire you when you're completing your 100th task</li>    <li>Explores the tools and machines you need for your very own dream garage</li>    <li> Enables everyday car and bike enthusiasts like you, to create your own unique and powerful rides</li>  </ul>
Z0620|Z0620|Flayderman's Guide to Antique American Firearms and Their Values|Paperback|39.99||Y|http://OldCarsBookStore.com/flayderman-s-guide-to-antique-american-firearms-and-their-values|http://cdn.fwmedia.com/media/catalog/product/cache/0/image/120x120/9df78eab33525d08d6e5fb8d27136e95/z/0/z0620-antique-gun-values.jpg|http://cdn.fwmedia.com/media/catalog/product/cache/0/image/200x200/9df78eab33525d08d6e5fb8d27136e95/z/0/z0620-antique-gun-values.jpg|5.18|2007-12-06 00:00:00|631~2359~2595~2647~2837~3185~3197~3199~3201~3203~3217~3227~3231~3239~3273~3287~3387~3777~4499~4555~5065~5067~5075~5543~8352|Norm Flayderman|Gun Digest||||||1|<p>No other source brings you over 4,000 meticulously priced firearms from the colonial era to the early 1900s - truly antique and vintage guns.</p><p>Filled with 4,000+ antique gun prices, historical information and details, and tips on collecting, grading, and inspecting antique guns.</p>|<h4>A firearms guide for your antique American needs</h4><p>You&rsquo;ll love this firearms guide if:</p><ul><li>You&rsquo;re looking to buy, sell, or collect antique guns </li><li>You want accurate & updated antique gun values </li><li>You&rsquo;re looking for a quick reference guide for gun identification </li><li>You want to know how to collect, grade & inspect antique firearms </li></ul><p>Flayderman&rsquo;s Guide to Antique American Firearms and Their Values, 9th Edition is updated & revised in order to provide the most reliable information. Not only does this firearms guide cover gun prices and identification, but it also supplies information on trends in gun collecting and firearms history. This edition also includes over 1,200 updates, including a new chapter on metallic cartridge handguns. Explore the history of popular and well-known firearms and their manufacturers, as well as more obscure models, and learn how to differentiate between genuine and fake guns. </p><p>In Flayderman's Guide to Antique American Firearms and Their Values, 9th Edition you&rsquo;ll find:</p><ul><li>Antique gun values for over 4,000 different firearms </li><li>1,800 photos for easy reference </li><li>Firearms information from the early 1700s to the early 1900s </li></ul><h4>About the Author</h4><p>Norm Flayderman is unrivaled in both his status as a professional dealer and collector, and his knowledge about antique arms. Not only has he had the privilege of handling examples of a wide array of antique models of firearms, but he is also the appointed Arms Consultant to several museums, including the Springfield Armory Museum and the Marine Corps Historical Center, Washington, D.C. and Quantico, Virginia. </p><h4>What the Experts Are Saying</h4><blockquote>&quot; Indispensable for understanding the gun in America ... scholarly work of the purest water, unriveled in American or European arms literature for depth, scope, thoroughness and literary style all in one. &quot;<span class=&rdquo;tagline&rdquo;> &mdash; Robert Held, author of Age of Firearms</span></blockquote><blockquote>&quot; ...quite simply the best and most important study of antique American arms ever written. &quot;<span class=&rdquo;tagline&rdquo;> &mdash; Man At Arms magazine </span></blockquote><blockquote>&quot; As a definitive work; you shudder at the amount of effort that must have been required to put it together. &quot;<span class=&rdquo;tagline&rdquo;> &mdash; Field & Stream magazine </span></blockquote><blockquote>&quot; The bible for the gun collector a must for all students of early American firearms! &quot;<span class=&rdquo;tagline&rdquo;> &mdash; Elmer Keith, Guns Magazine </span></blockquote>
Z0738|Z0738|Gun Digest Book of the AR-15 Volume II|Paperback|29.99|19.99|Y|http://OldCarsBookStore.com/gun-digest-book-of-the-ar-15-volume-ii|http://cdn.fwmedia.com/media/catalog/product/cache/0/image/120x120/9df78eab33525d08d6e5fb8d27136e95/Z/0/Z0738.jpg|http://cdn.fwmedia.com/media/catalog/product/cache/0/image/200x200/9df78eab33525d08d6e5fb8d27136e95/Z/0/Z0738.jpg|2.55|2007-06-22 00:00:00|631~2595~3185~3209~3273~3285~3387~3507~3777~4499~4555~8605~8629~8633|Patrick Sweeney|Gun Digest||||||1|Even MORE About America's Favorite Rifle!|<p >Even MORE About America's Favorite Rifle!  More models! &middot; More photos! &middot; More accessories!</p>  <p>Field-proven and battle-hardened by two generations of warriors, the AR-15 is one of today's hottest law enforcement and anti-terrorism tools. In Gun Digest&reg; Book of the AR-15, Volume II, master gunsmith/firearms instructor Patrick Sweeney offers even more tips, tricks and techniques about America's favorite black rifle, the legendary AR-15. From the newest 6.8mm loads to the latest gee-whiz accessories, if it has to do with the AR-15, it's in this book! </p>  <br>  You'll find:<ul>  <li>Ammunition</li>  <li>Magazines</li>  <li>Barrels</li>  <li>Stocks</li>  <li>Forearms</li>  <li>Scopes</li>  <li>Bolts</li>  <li>Slings</li>  <li>Lowers</li>  <li>Flash Hiders, Comps & Brakes</li>  <li>Shooting Tests</li>  <li>&hellip;and more!</li>  </ul>  <p>Whether you are a recreational shooter, law enforcement professional, or collector &ndash; Gun Digest&reg; Book of the AR-15, Volume II is the invaluable guide you need to the ever-changing world of the ageless AR-15.</p>
Z0931|Z0931|Standard Catalog of&reg; Colt Firearms||29.99|12.00|Y|http://OldCarsBookStore.com/standard-catalog-of-colt-firearms|http://cdn.fwmedia.com/media/catalog/product/cache/0/image/120x120/9df78eab33525d08d6e5fb8d27136e95/Z/0/Z0931.jpg|http://cdn.fwmedia.com/media/catalog/product/cache/0/image/200x200/9df78eab33525d08d6e5fb8d27136e95/Z/0/Z0931.jpg|4.68|2007-11-26 00:00:00|631~2849~3191~3195~3213~3217~3231~3239~3243~3273~3287~3387~3777~4499~4555~8553|Rick Sapp|Gun Digest||||||1|Make the most of a robust Colt collector firearms market with the historical and production details you gain in this one-of-a-kind gun guide|<p>THE WORLD'S ONLY ILLUSTRATED COLT PRICE GUIDE!</p>  <p>Colt &ndash; the very name evokes visions of brave men in blue and gray, on dusty cattle drives, and in grim battlefields far from home. From the Texas War of Independence to modern-day conflicts in Baghdad and Afghanistan, Colt firearms have earned their place in history.</p>  <p>Now, in one unique volume, Standard Catalog of&reg; Colt Firearms gives beginning and experienced collectors everything needed to enjoy the fascinating world of Colt firearms: photos, descriptions and accurate values for the legendary firearms that won the Civil War, settled the Wild West and fought tyranny around the globe. For the collector, for the shooter, for the historian, there's no more entertaining, informative book than Standard Catalog of&reg; Colt Firearms.</p>  <ul>  <li>More than 400 brilliant, full-color photos</li>  <li>Up-to-the-minute, real-world values</li>  <li>Accurate, detailed descriptions</li>  </ul>  <p>From the first Paterson revolvers of the 1830s to the latest Colt-built M16s, you'll find it here &ndash; in Standard Catalog of&reg; Colt Firearms!</p>
Z1227|Z1227|101 Things You Didn't Know About the Civil War|Paperback|9.95||Y|http://OldCarsBookStore.com/101-things-you-didnt-know-about-the-civil-war|http://cdn.fwmedia.com/media/catalog/product/cache/0/image/120x120/9df78eab33525d08d6e5fb8d27136e95/Z/1/Z1227.jpg|http://cdn.fwmedia.com/media/catalog/product/cache/0/image/200x200/9df78eab33525d08d6e5fb8d27136e95/Z/1/Z1227.jpg|1.23|2007-06-04 00:00:00|631~2157~2361~2381~2689~4499~4551~4555~5557~5821~6017~6053~6079~6137~6687|Thomas R. Turner, Ph.D.|Adams Media||||||1|<I>101 Things You Didn't Know About the Civil War</I> is packed with fascinating details about the people, places, and events that defined our nation's most contentious conflict.|Do you know: <P> Which state was the first to secede from the Union? <P> Who the Mata Hari of the Civil War was?  <P> Which Bible passage Southerners most often used to justify slavery? <P> You'll find the answers to these intriguing questions and more in <I>101 Things You Didn't Know About the Civil War</I>. Packed with fascinating details about the people, places, and events that defined our nation's most contentious conflict, this tell-all guide reveals the inside scoop on the: <UL> <LI>Issue of slavery and its impact on the war <LI>Great--and not-so-great--leaders and generals <LI>Battles fought and lost--and fought again <LI>Particular horrors of this war  <LI>Women, children, and African Americans in the war </UL> Complete with a helpful timeline, <I>101 Things You Didn't Know About the Civil War</I>is your go-to guide for facts of the war that dramatically altered the course of American history.  <p>Thomas Turner, Ph.D., is a professor of history at Bridgewater State College, in Bridgewater, Massachusetts.
Z2207|Z2207|The Gun Digest&reg; Book of the AK & SKS|Paperback|27.99|10.00|Y|http://OldCarsBookStore.com/the-gun-digest-book-of-the-ak-sks|http://cdn.fwmedia.com/media/catalog/product/cache/0/image/120x120/9df78eab33525d08d6e5fb8d27136e95/Z/2/Z2207.jpg|http://cdn.fwmedia.com/media/catalog/product/cache/0/image/200x200/9df78eab33525d08d6e5fb8d27136e95/Z/2/Z2207.jpg|2.77|2008-12-02 00:00:00|631~2849~3209~3273~3285~3387~3777~4499~4555|Patrick Sweeney|Gun Digest||||||1|Everything You Need to Know About the Most Popular Weapons in History!  For more th|<p><b>Everything You Need to Know About the Most Popular Weapons in History!</b></p>  <p>For more than half a century, the Kalashnikov AK-47 has been the most famous battle rifle in the world. Today, the AK-47 continues to be the rifle of choice, not only for many of the world's armed forces, but for thousands of civilian shooters in the United States.</p>  <p>In <i>The Gun Digest&reg; Book of the AK & SKS: A Complete Guide to Guns, Gear and Ammunition</i>, best-selling author Patrick Sweeney gives the complete lowdown on the AK-47 and its variants. It's all here: tips on building an AK, choosing ammunition and accessories, keeping your AK perking for years to come, and much more. As a bonus, there's also a section dealing with the other great Soviet rifle, the Simonov SKS!</p>  <p>The one book on the AK and SKS that's got everything you need and much more!</p><ul>  <li>Hundreds of detailed photos</li>  <li>Step-by-step gunsmithing procedures</li>  <li>Money-saving tips and techniques</li>  </ul>  <p>Written as only Patrick Sweeney can, <i>The Gun Digest Book of AK & SKS</i> is a must-have volume for anyone who's interested in the SKS and Cold War weaponry!</p>
Z2981|Z2981|Best of Old Cars Prewar CD||4.99||Y|http://OldCarsBookStore.com/best-of-old-cars-prewar-cd|http://cdn.fwmedia.com/media/catalog/product/cache/0/image/120x120/9df78eab33525d08d6e5fb8d27136e95/Z/2/Z2981.jpg|http://cdn.fwmedia.com/media/catalog/product/cache/0/image/200x200/9df78eab33525d08d6e5fb8d27136e95/Z/2/Z2981.jpg|0.91|2008-11-04 00:00:00|631~2423~2445~2471~2595~4499~4503~4591~4593~4597~4605~4615~4617~4623~4629~4667|Old Cars Weekly|Old Cars Weekly||||||1|The cars and trucks built in the early 1900s through the years leading up to World War II were|<l><p>The cars and trucks built in the early 1900s through the years leading up to World War II were incredibly styled works of art that will never be repeated.</l></p>    <p><l>Take a virtual ride on your computer with these historical cars through feature stories taken for the pages of Old Cars Weekly. On this disk, you'll see brass- and nickel-era vehicles to classics and everything between.</l></p>    <p><l>And, as an added bonus, watch video of Chicago-area resident Fran Roxas as he restores a Duesenberg to its original luster.</l></p>    <l><p>The disk is easy to use--just pop it in your computer and read away.</l></p>
Z4208|Z4208|Orange Old Cars T-Shirt Small|Apparel & Accessories|13.00|10.00|Y|http://OldCarsBookStore.com/orange-old-cars-t-shirt-small|http://cdn.fwmedia.com/media/catalog/product/cache/0/image/120x120/9df78eab33525d08d6e5fb8d27136e95/Z/4/Z4208.jpg|http://cdn.fwmedia.com/media/catalog/product/cache/0/image/200x200/9df78eab33525d08d6e5fb8d27136e95/Z/4/Z4208.jpg|0.00|2008-10-01 00:00:00|631~2445~2595~4597~4615~4617~4637~4641~4667~7857|Old Cars Weekly|Old Cars Weekly||||||1|Really, who doesn't love cars? And who doesn't love t-shirts? Is there any better way to combine tha|Really, who doesn't love cars? And who doesn't love t-shirts? Is there any better way to combine that love than with car t-shirts in your closet? The Old Cars Weekly orange logo t-shirt is a great addition to any wardrobe.
